BugID	LDA1	LDA2	LDA3	LDA4	LDA5	LDA6	LDA7	LDA8	LDA9	LDA10	LDA11	LDA12	LDA13	LDA14	LDA15	LDA16	LDA17	LDA18	LDA19	LDA20	LDA21	LDA22	LDA23	LDA24	LDA25	LDA26	LDA27	LDA28	LDA29	LDA30	LDA31	LDA32	LDA33	LDA34	LDA35	LDA36	LDA37	LDA38	LDA39	LDA40
10304438	0.100236	0.100462	231.015091	0.100507	0.100001	0.100001	0.100331	0.100054	0.100001	0.100758	0.100001	0.100576	0.100001	0.100607	0.100001	0.100001	5.555692	176.72226	0.10015	290.889954	0.100001	0.100287	0.100337	0.100001	0.100286	0.100274	0.100018	0.100948	38.92728	0.100449	26.859816	4.051397	0.100454	0.10034	0.100385	0.100001	0.100047	0.100222	0.770951	0.100001
10342299	53.759644	0.100109	172.242844	0.100184	0.100001	0.100001	0.10056	0.100303	0.100001	0.100326	0.100001	0.100043	0.100001	0.354384	0.100001	0.100001	0.100365	0.100098	0.100325	0.100106	0.100001	0.100216	0.100407	0.100001	0.100231	0.100384	0.100139	0.100188	0.100279	0.10052	0.100254	171.72142	0.100182	305.41507	0.100362	0.100001	0.100087	0.100485	0.10033	0.100001
10354179	376.228668	0.100329	190.509995	0.100348	0.100001	0.100001	10.396632	0.100488	0.100001	0.156298	0.100001	0.100021	0.100001	0.100806	0.100001	0.100001	0.100244	0.100203	0.100389	0.100243	0.100001	0.100183	0.100054	0.100001	0.100084	0.100344	0.100162	0.100659	0.100458	11.354801	0.100296	204.946762	0.100238	0.100376	0.100308	0.100001	0.100024	0.100254	0.100607	0.100001
10370409	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10370621	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10384304	0.100267	35.119568	152.394669	0.100439	0.100005	0.100005	0.100483	0.100122	0.100005	14.523573	0.100005	0.100024	0.100005	0.100336	0.100005	0.100041	0.100166	0.100171	0.100111	0.100137	0.100005	0.10016	0.100123	0.100005	0.100185	3.165269	0.100047	0.100255	0.100169	0.100577	0.100258	45.542702	0.100119	270.476593	0.100362	0.100005	0.100024	0.100092	173.472778	0.100005
10405775	0.100239	6.635547	141.285782	0.100551	0.100008	0.100008	0.100391	0.100612	0.100008	33.88266	0.100008	0.100093	0.100008	0.100268	0.100008	0.100008	0.100172	0.100083	0.100154	0.100092	0.100008	0.101089	0.100155	0.100008	0.10007	0.100701	0.10003	0.100225	193.944992	0.10036	0.10044	0.100357	0.100101	0.100387	0.100236	0.100008	0.100142	0.100117	223.743866	0.100008
10410596	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10418714	0.100317	0.100401	80.807594	0.100312	0.100004	0.100004	0.100808	0.100092	0.100004	0.100531	0.100004	0.100022	0.100004	0.100313	0.100004	0.100004	0.100154	0.100054	0.100139	0.1001	0.100004	0.100232	0.100076	0.100004	0.100086	0.100204	0.100139	0.100206	0.100119	0.10057	0.100183	33.873833	0.100119	0.332701	0.100196	0.100004	0.100039	0.100214	536.380249	0.100004
10425050	115.202065	68.070168	0.393777	0.100489	0.100001	0.100001	0.100627	0.100177	0.100001	0.100507	0.100001	0.100055	0.100001	0.10057	0.100001	0.100001	0.100405	0.100153	0.100122	0.100247	0.100001	0.100172	0.100131	0.100001	0.100112	0.100377	0.100044	0.100334	0.10016	325.472046	0.100121	9.529149	199.044281	92.982155	0.10035	0.100001	0.100055	0.100195	0.100819	0.100001
