Instance	True	Assigned	LabelIndex_0	LabelProb_0	LabelIndex_1	LabelProb_1	LabelIndex_2	LabelProb_2	Log-loss
10275205	34	0	0	0.384369820356369	1	0.372811526060104	2	0.104847684502602	8.20377927536896
10352360	34	0	0	0.319786429405212	1	0.277547538280487	2	0.0812442973256111	5.49024131413239
10367398	34	0	0	0.820831775665283	19	0.0587618388235569	1	0.0481423288583755	9.45333681032306
10383219	34	2	2	0.656745254993439	0	0.121264174580574	1	0.0707089006900787	9.95018456384988
10394140	34	8	8	0.194513857364655	0	0.172517046332359	13	0.166977018117905	7.99389768060359
10403744	34	0	0	0.91855263710022	1	0.0507788546383381	5	0.00572688318789005	8.85568100261229
10424674	34	1	1	0.384859979152679	0	0.295296043157578	2	0.162533327937126	6.05491514036266
10458937	34	22	22	0.300589174032211	2	0.256935954093933	0	0.216983452439308	8.62891081040763
10464326	34	1	1	0.891887664794922	8	0.0647638663649559	9	0.023629367351532	10.3480330149427
10493702	34	9	9	0.674568891525269	1	0.0940401032567024	2	0.093871533870697	8.1473758959846
10494733	34	1	1	0.56181663274765	9	0.156814739108086	3	0.119535490870476	8.39801332432176
10496152	34	2	2	0.463895976543427	1	0.122121058404446	0	0.101163871586323	6.66352812956126
10497229	34	1	1	0.490893691778183	2	0.118637673556805	9	0.103073537349701	7.9078663075207
10509822	34	1	1	0.603016078472137	2	0.27074059844017	5	0.0693281665444374	8.50898703027146
10557796	34	0	0	0.779251873493195	4	0.0629578977823257	2	0.0372334383428097	8.49037008793782
10563389	34	9	9	0.442510306835175	2	0.24858732521534	1	0.218861192464828	7.15016623059391
10580025	34	6	6	0.799203395843506	2	0.0899471938610077	1	0.0444333218038082	7.37789994276231
10601766	34	2	2	0.707732856273651	1	0.267119824886322	3	0.0112655544653535	11.7913773269961
10610468	34	1	1	0.763397753238678	8	0.208900824189186	2	0.014190093614161	11.7058119805997
